0 | []
  37.  83.  41.  79.  47.  73.  53.  67.  59.  61.]
122 | [ 13. 109.  19. 103.  43.  79.  61.  61.]
124 | [ 11. 113.  17. 107.  23. 101.  41.  83.  53.  71.]
126 | [ 13. 113.  17. 109.  19. 107.  23. 103.  29.  97.  37.  89.  43.  83.
  47.  79.  53.  73.  59.  67.]
128 | [ 19. 109.  31.  97.  61.  67.]
130 | [  3. 127.  17. 113.  23. 107.  29. 101.  41.  89.  47.  83.  59.  71.]
132 | [  5. 127.  19. 113.  23. 109.  29. 103.  31. 101.  43.  89.  53.  79.
  59.  73.  61.  71.]
134 | [  3. 131.   7. 127.  31. 103.  37.  97.  61.  73.  67.  67.]
136 | [  5. 131.  23. 113.  29. 107.  47.  89.  53.  83.]
138 | [  7. 131.  11. 127.  29. 109.  31. 107.  37. 101.  41.  97.  59.  79.
  67.  71.]
140 | [  3. 137.  13. 127.  31. 109.  37. 103.  43.  97.  61.  79.  67.  73.]
142 | [  3. 139.   5. 137.  11. 131.  29. 113.  41. 101.  53.  89.  59.  83.
  71.  71.]
144 | [  5. 139.   7. 137.  13. 131.  17. 127.  31. 113.  37. 107.  41. 103.
  43. 101.  47.  97.  61.  83.  71.  73.]
146 | [  7. 139.  19. 127.  37. 109.  43. 103.  67.  79.  73.  73.]
148 | [ 11. 137.  17. 131.  41. 107.  47. 101.  59.  89.]
150 | [ 11. 139.  13. 137.  19. 131.  23. 127.  37. 113.  41. 109.  43. 107.
  47. 103.  53.  97.  61.  89.  67.  83.  71.  79.]
152 | [  3. 149.  13. 139.  43. 109.  73.  79.]
154 | [  3. 151.   5. 149.  17. 137.  23. 131.  41. 113.  47. 107.  53. 101.
  71.  83.]
156 | [  5. 151.   7. 149.  17. 139.  19. 137.  29. 127.  43. 113.  47. 109.
  53. 103.  59.  97.  67.  89.  73.  83.]
158 | [  7. 151.  19. 139.  31. 127.  61.  97.  79.  79.]
160 | [  3. 157.  11. 149.  23. 137.  29. 131.  47. 113.  53. 107.  59. 101.
  71.  89.]
162 | [  5. 157.  11. 151.  13. 149.  23. 139.  31. 131.  53. 109.  59. 103.
  61. 101.  73.  89.  79.  83.]
164 | [  7. 157.  13. 151.  37. 127.  61. 103.  67.  97.]
166 | [  3. 163.  17. 149.  29. 137.  53. 113.  59. 107.  83.  83.]
168 | [  5. 163.  11. 157.  17. 151.  19. 149.  29. 139.  31. 137.  37. 131.
  41. 127.  59. 109.  61. 107.  67. 101.  71.  97.  79.  89.]
170 | [  3. 167.   7. 163.  13. 157.  19. 151.  31. 139.  43. 127.  61. 109.
  67. 103.  73.  97.]
172 | [  5. 167.  23. 149.  41. 131.  59. 113.  71. 101.  83.  89.]
174 | [  7. 167.  11. 163.  17. 157.  23. 151.  37. 137.  43. 131.  47. 127.
  61. 113.  67. 107.  71. 103.  73. 101.]
176 | [  3. 173.  13. 163.  19. 157.  37. 139.  67. 109.  73. 103.  79.  97.]
178 | [  5. 173.  11. 167.  29. 149.  41. 137.  47. 131.  71. 107.  89.  89.]
180 | [  7. 173.  13. 167.  17. 163.  23. 157.  29. 151.  31. 149.  41. 139.
  43. 137.  53. 127.  67. 113.  71. 109.  73. 107.  79. 101.  83.  97.]
182 | [  3. 179.  19. 163.  31. 151.  43. 139.  73. 109.  79. 103.]
184 | [  3. 181.   5. 179.  11. 173.  17. 167.  47. 137.  53. 131.  71. 113.
  83. 101.]
186 | [  5. 181.   7. 179.  13. 173.  19. 167.  23. 163.  29. 157.  37. 149.
  47. 139.  59. 127.  73. 113.  79. 107.  83. 103.  89.  97.]
188 | [  7. 181.  31. 157.  37. 151.  61. 127.  79. 109.]
190 | [ 11. 179.  17. 173.  23. 167.  41. 149.  53. 137.  59. 131.  83. 107.
  89. 101.]
192 | [ 11. 181.  13. 179.  19. 173.  29. 163.  41. 151.  43. 149.  53. 139.
  61. 131.  79. 113.  83. 109.  89. 103.]
194 | [  3. 191.  13. 181.  31. 163.  37. 157.  43. 151.  67. 127.  97.  97.]
196 | [  3. 193.   5. 191.  17. 179.  23. 173.  29. 167.  47. 149.  59. 137.
  83. 113.  89. 107.]
198 | [  5. 193.   7. 191.  17. 181.  19. 179.  31. 167.  41. 157.  47. 151.
  59. 139.  61. 137.  67. 131.  71. 127.  89. 109.  97. 101.]
